customerNumber,customerName,contactLastName,contactFirstName,phone,addressLine1,addressLine2,city,state,postalCode,country,salesRepEmployeeNumber,creditLimit
458,"Corrida Auto Replicas, Ltd",Sommer,Martín ,(91) 555 22 82,"C/ Araquil, 67",null,Madrid,null,28023,Spain,1702,104600.00
459,Warburg Exchange,Ottlieb,Sven ,0241-039123,Walserweg 21,null,Aachen,null,52066,Germany,null,0.00
462,FunGiftIdeas.com,Benitez,Violeta,5085552555,1785 First Street,null,New Bedford,MA,50553,USA,1216,85800.00
465,"Anton Designs, Ltd.",Anton,Carmen,+34 913 728555,"c/ Gobelas, 19-1 Urb. La Florida",null,Madrid,null,28023,Spain,null,0.00
471,"Australian Collectables, Ltd",Clenahan,Sean,61-9-3844-6555,7 Allen Street,null,Glen Waverly,Victoria,3150,Australia,1611,60300.00
473,Frau da Collezione,Ricotti,Franco,+39 022515555,20093 Cologno Monzese,Alessandro Volta 16,Milan,null,null,Italy,1401,34800.00
475,West Coast Collectables Co.,Thompson,Steve,3105553722,3675 Furth Circle,null,Burbank,CA,94019,USA,1166,55400.00
477,Mit Vergnügen & Co.,Moos,Hanna ,0621-08555,Forsterstr. 57,null,Mannheim,null,68306,Germany,null,0.00
480,"Kremlin Collectables, Co.",Semenov,Alexander ,+7 812 293 0521,2 Pobedy Square,null,Saint Petersburg,null,196143,Russia,null,0.00
481,"Raanan Stores, Inc","Altagar,G M",Raanan,+ 972 9 959 8555,3 Hagalim Blv.,null,Herzlia,null,47625,Israel,null,0.00
484,"Iberia Gift Imports, Corp.",Roel,José Pedro ,(95) 555 82 82,"C/ Romero, 33",null,Sevilla,null,41101,Spain,1702,65700.00
486,Motor Mint Distributors Inc.,Salazar,Rosa,2155559857,11328 Douglas Av.,null,Philadelphia,PA,71270,USA,1323,72600.00
487,Signal Collectibles Ltd.,Taylor,Sue,4155554312,2793 Furth Circle,null,Brisbane,CA,94217,USA,1165,60300.00
489,"Double Decker Gift Stores, Ltd",Smith,Thomas ,(171) 555-7555,120 Hanover Sq.,null,London,null,WA1 1DP,UK,1501,43300.00
495,Diecast Collectables,Franco,Valarie,6175552555,6251 Ingle Ln.,null,Boston,MA,51003,USA,1188,85100.00
496,Kelly's Gift Shop,Snowden,Tony,+64 9 5555500,Arenales 1938 3'A',null,Auckland  ,null,null,New Zealand,1612,110000.00
239,Collectable Mini Designs Co.,Thompson,Valarie,7605558146,361 Furth Circle,null,San Diego,CA,91217,USA,1166,105000.00
240,giftsbymail.co.uk,Bennett,Helen ,(198) 555-8888,Garden House,Crowther Way 23,Cowes,Isle of Wight,PO31 7PJ,UK,1501,93900.00
242,Alpha Cognac,Roulet,Annette ,61.77.6555,1 rue Alsace-Lorraine,null,Toulouse,null,31000,France,1370,61100.00
247,Messner Shopping Network,Messner,Renate ,069-0555984,Magazinweg 7,null,Frankfurt,null,60528,Germany,null,0.00
249,Amica Models & Co.,Accorti,Paolo ,011-4988555,Via Monte Bianco 34,null,Torino,null,10100,Italy,1401,113000.00
